zincid,smiles,consensus_score,docking_score,boltz_prob,is_active
ZINC000001466468,O=C(NCc1ccc2c(c1)OCO2)[C@H]1CCCO1,0.4592094,-8.611,0.13033025,0
ZINC000035681782,CCNc1nnc([C@H](C#N)NC(C)=O)s1,0.34794647,-6.385,0.1413499,0
ZINC000059925790,CCCCNC(=S)Nc1nccs1,0.35686293,-5.098,0.29281288,0
ZINC000122432508,C=CC[C@H](C)NC(=O)C[C@@H]1CCNC1,0.5745875,-6.744,0.5529826,0
ZINC000256049589,CN1CC2(CCC2)C[C@@H]1C(=O)O,0.35421938,-6.392,0.15304825,0
ZINC000298157608,O=C(NCC1CC1)[C@@H]1Cc2ccccc2C(=O)O1,0.63618535,-8.333,0.50980526,0
ZINC000334661729,C=CC(C)(C)C(=O)Nc1cncnc1,0.42871606,-6.332,0.30685717,0
ZINC000334891698,c1cn2c(n1)[C@@H](NC[C@H]1CC13CC3)CC2,0.5845469,-7.077,0.53809154,0
ZINC000354021488,COC[C@@H]1CCN1C(=O)CCc1ccoc1,0.4413626,-6.746,0.28886816,0
ZINC000381367950,C[C@H]1CC[C@H](C)C1NCCOCC(F)(F)F,0.36191317,-6.727,0.13346136,0
ZINC000438095393,CC[C@@H]1C[C@H]1NC(=O)Cc1cn2ccsc2n1,0.40157077,-7.192,0.16367671,0
ZINC000491153744,C#CCN(C)CCCNc1cncc(C(N)=O)n1,0.43606466,-6.801,0.2726555,0
ZINC000556850273,O=C(C1CCCC1)N1CCC(c2nnco2)CC1,0.47645319,-8.431,0.18320194,0
ZINC000629490428,C/C=C\CN1C(=O)[C@H](C)N(C2CC2)C1=O,0.4113154,-6.992,0.20377254,0
ZINC000662471827,COc1ccc(NC(=O)C2(O)CNC2)c(C)c1,0.49723965,-7.512,0.31991994,0
ZINC000663062530,Cc1nccnc1C(=O)N[C@@H]1CC[C@H](C(=O)O)C1,0.42898977,-7.269,0.20998614,0
ZINC000784024650,Cc1ccccc1CNC(=O)[C@@H](F)C(C)C,0.43484765,-8.071,0.13821177,0
ZINC000784243049,CCCOC(=O)[C@H](C)N1CCSC[C@@H]1CO,0.37686703,-6.261,0.21153028,0
ZINC000825566935,CN(C)C[C@H]1CCCN1C(=O)Cc1ncc[nH]1,0.37434223,-6.302,0.20226641,0
ZINC000853439873,COc1cccc(C=NOCC2CCC2)c1,0.50791633,-7.978,0.29262277,0
ZINC000853560224,C[C@@H]1C[C@@H](C)N1c1cnc(F)cn1,0.41954583,-6.192,0.30324656,0
ZINC000854153529,Cc1cc(-c2noc([C@H]3C[C@H](N)C3)n2)c(C)o1,0.59872615,-8.205,0.44890916,0
ZINC000859648166,Cc1cnccc1COC(=O)[C@H]1CO[C@@H](C)C1,0.44899303,-7.526,0.22289228,0
ZINC000881850947,C=C(Br)CNc1ncncc1C,0.4326145,-6.067,0.34212983,0
ZINC000882154615,C=CC[C@H](C)Sc1ncnn1C,0.39398834,-5.477,0.32695296,0
ZINC000889611557,O=C(N[C@@H]1C[C@@H]2CCC[C@H]12)c1ncc[nH]1,0.47922084,-7.432,0.29254335,0
ZINC000894778157,Cc1ncoc1CN(C)C[C@H](O)C1CC1,0.5704556,-6.05,0.6169479,0
ZINC000899364238,CC1=NN(C2CCNCC2)C(=O)[C@@H]1F,0.47404146,-6.862,0.3415423,0
ZINC000900438867,Cc1noc([C@H](C)NC(=O)c2cnc(C)n2C)n1,0.44810185,-6.967,0.27924222,0
ZINC000900798022,C[C@@H]1C[C@@H](C)N(C(=O)Cc2cnc[nH]2)C1,0.37970906,-6.548,0.18732278,0
ZINC000902522888,C[C@@H](NC/C=C/Cl)[C@@H]1CCCN1,0.41480425,-5.908,0.3233794,0
ZINC000916104458,C[C@@H](CC(=O)N1CC[C@@H](CF)C1)NC(N)=O,0.3494661,-6.449,0.1377065,0
ZINC000968760238,CC1(C(=O)N2CC[C@@H](NCCO)C2)CC1,0.41939187,-6.221,0.2999267,0
ZINC001015636864,N#CCN1CC[C@@H](NC(=O)C(N)=O)C1,0.43106413,-5.897,0.35673237,0
ZINC001152183029,N#C[C@H]1C[C@H]1C(=O)N[C@H](CO)C1CC1,0.32687756,-6.529,0.08464366,0
ZINC001176129442,C[C@@H](O)c1ccc(Nc2ccc(O)nc2)cc1,0.5420164,-8.263,0.33054245,0
ZINC001226327114,C#C[C@@H](CC(C)C)Oc1nccc(O)n1,0.5201364,-7.457,0.37099427,0
ZINC001239785440,c1ncn(-c2cncc(C3=CCCC3)n2)n1,0.5367357,-7.626,0.38630635,0
ZINC001241156750,C/C=C(\NC=N)c1ccnc(N)c1,0.655675,-6.453,0.7438627,0
ZINC001253584213,C=C[C@H](O)CN1C[C@H]2[C@H](CF)[C@H]2C1,0.45495832,-6.031,0.39013356,0
ZINC000085346226,OCc1nnc(S)n1-c1ccccc1,0.48720378,-7.224,0.3299811,0
ZINC000086235419,CC(C)(O)CCNC[C@H]1CCCOC1,0.4070184,-6.515,0.24485081,0
ZINC000096369454,C/C=C/C(=O)N1CC[C@@H](S(C)(=O)=O)C1,0.4144397,-6.579,0.2528982,0
ZINC000136006701,C[C@H]1C[C@H]1CNC(=O)NC1CCCC1,0.43627048,-7.011,0.25123096,0
ZINC000336648930,FC(F)(F)CNCc1ccsc1Cl,0.5515755,-5.926,0.5924394,0
ZINC000350276521,Cc1nccc(CN2CCC(O)CC2)n1,0.5193653,-7.061,0.41063613,0
ZINC000389930241,Cc1cccnc1CNCCc1cnccn1,0.44225448,-7.125,0.25123295,0
ZINC000399209657,C[C@@H]1CC[C@H](O)CN1C(=O)c1cncc(O)c1,0.509869,-7.972,0.29711458,0
ZINC000402345910,C[C@@H]1C[C@H](Nc2ccc([N+](=O)[O-])nc2)CO1,0.41253778,-7.157,0.18904005,0
ZINC000528565710,CCn1cnc(S(=O)(=O)NCC2COC2)c1,0.3601126,-6.233,0.18125227,0
ZINC000564048413,O=C(NCc1cnc(C2CC2)o1)NCC1CC1,0.47637007,-7.011,0.33066463,0
ZINC000628229785,CSc1ccncc1NCc1cnc(C)o1,0.55530965,-6.172,0.57426167,0
ZINC000648290488,CC[C@@H]1CCC[C@@H]1C(=O)NCc1cocn1,0.42598182,-7.428,0.18749754,0
ZINC000661250988,CN(Cc1cnc[nH]1)C(=O)NCCC(C)(F)F,0.36751074,-6.31,0.18790215,0
